name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_33,21.91,19.41,76.23,246.105,5737.22,159.81,-48.84,10.0,True,52.44,122.95,"7.49, 22.48, 37.46, 52.44, 67.43","39.73, 111.83, 125.8, 122.95, 161.09","7.49, 22.48, 37.46, 52.44, 67.43","5.3, 4.3, 2.7, 1.0, 0.04"
WALLABY_J103538-484832_BS_34,21.96,19.08,78.85,246.409,5742.01,159.81,-48.84,10.0,True,48.55945853519521,120.84703049301795,"7.49, 22.48, 37.46, 52.44, 67.43","83.86, 113.75, 123.47, 119.93, 108.48","7.49, 22.48, 37.46, 52.44, 67.43","5.6, 5.0, 3.6, 0.091, 0.084"
WALLABY_J103538-484832_BS_35,21.95,19.29,78.9,246.488,5740.93,159.81,-48.84,10.0,True,50.86622568093385,137.08984435797666,"7.49, 22.48, 37.46, 52.44, 67.43","97.54, 117.11, 121.67, 138.9, 189.43","7.49, 22.48, 37.46, 52.44, 67.43","6.5, 4.6, 3.3, 0.73, 0.0057"
WALLABY_J103538-484832_BS_36,22.11,19.34,70.89,243.044,5739.76,159.81,-48.84,10.0,True,49.297057220708446,144.971553133515,"7.49, 22.48, 37.46, 52.44, 67.43","51.39, 113.53, 125.28, 150.2, 213.98","7.49, 22.48, 37.46, 52.44, 67.43","5.2, 3.7, 3.9, 0.23, 0.084"
WALLABY_J103538-484832_BS_37,21.92,19.29,70.94,246.966,5737.03,159.81,-48.84,10.0,True,49.04674033149171,140.0785635359116,"7.49, 22.48, 37.46, 52.44, 67.43","93.63, 122.17, 126.62, 144.02, 171.46","7.49, 22.48, 37.46, 52.44, 67.43","4.0, 4.4, 3.8, 0.18, 0.51"
WALLABY_J103538-484832_BS_38,22.04,19.27,74.08,241.403,5739.64,159.81,-48.84,10.0,True,50.18810457516339,132.63522875816992,"7.49, 22.48, 37.46, 52.44, 67.43","49.6, 115.48, 128.03, 133.45, 117.36","7.49, 22.48, 37.46, 52.44, 67.43","4.2, 4.1, 3.6, 0.54, 0.57"
WALLABY_J103538-484832_BS_39,21.78,19.24,72.59,239.797,5741.18,159.81,-48.84,10.0,True,49.18347826086956,158.6104347826087,"7.49, 22.48, 37.46, 52.44, 67.43","70.61, 114.19, 127.76, 167.18, 137.85","7.49, 22.48, 37.46, 52.44, 67.43","6.0, 4.1, 3.7, 0.25, 0.085"
WALLABY_J103538-484832_BS_40,21.96,19.19,75.38,245.073,5741.5,159.81,-48.84,10.0,True,50.23096774193548,96.0794470046083,"7.49, 22.48, 37.46, 52.44, 67.43","44.2, 123.34, 126.37, 90.84, 109.31","7.49, 22.48, 37.46, 52.44, 67.43","5.7, 2.8, 4.7, 0.36, 0.079"
WALLABY_J103538-484832_BS_41,22.02,19.27,74.85,248.811,5738.86,159.81,-48.84,10.0,True,48.85323943661972,129.30042253521128,"7.49, 22.48, 37.46, 52.44, 67.43","52.79, 110.61, 126.03, 130.33, 203.81","7.49, 22.48, 37.46, 52.44, 67.43","2.8, 4.8, 3.7, 0.15, 0.096"
WALLABY_J103538-484832_BS_42,22.27,19.17,74.04,250.648,5744.47,159.81,-48.84,10.0,True,50.434803149606296,112.50960629921259,"7.49, 22.48, 37.46, 52.44, 67.43","70.44, 113.3, 131.66, 109.55, 176.37","7.49, 22.48, 37.46, 52.44, 67.43","5.3, 4.3, 3.2, 0.66, 0.071"
WALLABY_J103538-484832_BS_43,22.18,19.03,68.92,246.298,5744.11,159.81,-48.84,10.0,True,50.333437499999995,114.531875,"7.49, 22.48, 37.46, 52.44, 67.43","68.68, 118.95, 129.21, 112.13, 211.49","7.49, 22.48, 37.46, 52.44, 67.43","6.1, 5.2, 3.2, 0.64, 0.17"
WALLABY_J103538-484832_BS_44,22.03,19.27,71.4,245.605,5739.64,159.81,-48.84,10.0,True,47.911162790697674,132.30418604651163,"7.49, 22.48, 37.46, 52.44, 67.43","37.78, 119.62, 128.46, 133.97, 140.88","7.49, 22.48, 37.46, 52.44, 67.43","2.6, 6.3, 2.5, 0.35, 0.0095"
WALLABY_J103538-484832_BS_45,22.08,19.32,72.1,245.382,5739.33,159.81,-48.84,10.0,True,48.72315789473684,121.56172932330827,"7.49, 22.48, 37.46, 52.44, 67.43","52.39, 111.75, 128.87, 119.15, 178.13","7.49, 22.48, 37.46, 52.44, 67.43","5.5, 5.6, 3.0, 0.34, 0.4"
WALLABY_J103538-484832_BS_46,22.14,19.26,70.84,252.186,5741.34,159.81,-48.84,10.0,True,46.73554179566563,118.33541795665634,"7.49, 22.48, 37.46, 52.44, 67.43","41.16, 128.45, 121.58, 116.34, 193.03","7.49, 22.48, 37.46, 52.44, 67.43","4.9, 4.4, 2.6, 0.016, 0.0094"
WALLABY_J103538-484832_BS_47,22.06,19.26,79.05,246.73,5737.73,159.81,-48.84,10.0,True,50.135384615384616,119.24153846153845,"7.49, 22.48, 37.46, 52.44, 67.43","75.92, 113.26, 124.09, 118.36, 117.21","7.49, 22.48, 37.46, 52.44, 67.43","3.9, 4.7, 3.2, 0.6, 0.083"
WALLABY_J103538-484832_BS_48,21.86,19.41,73.23,245.558,5738.52,159.81,-48.84,10.0,True,49.787680798004985,121.83730673316708,"7.49, 22.48, 37.46, 52.44, 67.43","37.84, 115.64, 127.96, 120.52, 117.3","7.49, 22.48, 37.46, 52.44, 67.43","4.4, 3.7, 4.3, 0.29, 0.011"
WALLABY_J103538-484832_BS_49,22.21,19.34,71.99,242.153,5742.42,159.81,-48.84,10.0,True,49.85352517985611,116.38611510791367,"7.49, 22.48, 37.46, 52.44, 67.43","30.11, 122.45, 121.83, 115.25, 151.02","7.49, 22.48, 37.46, 52.44, 67.43","4.8, 4.6, 3.3, 0.52, 0.061"
WALLABY_J103538-484832_BS_50,21.88,19.4,71.54,252.429,5737.35,159.81,-48.84,10.0,True,48.1823382045929,143.83502535043246,"7.49, 22.48, 37.46, 52.44, 67.43","94.56, 119.74, 124.28, 151.6, 170.79","7.49, 22.48, 37.46, 52.44, 67.43","6.9, 4.6, 3.4, 0.047, 0.46"
WALLABY_J103538-484832_BS_51,22.1,19.46,72.14,251.265,5739.95,159.81,-48.84,10.0,True,49.07240310077519,97.5931007751938,"7.49, 22.48, 37.46, 52.44, 67.43","89.32, 119.85, 124.19, 89.88, 165.54","7.49, 22.48, 37.46, 52.44, 67.43","6.5, 3.5, 4.0, 0.13, 0.028"
WALLABY_J103538-484832_BS_52,21.97,19.41,75.49,249.607,5737.67,159.81,-48.84,10.0,True,49.904923076923076,140.1013846153846,"7.49, 22.48, 37.46, 52.44, 67.43","44.88, 119.31, 122.19, 143.75, 139.73","7.49, 22.48, 37.46, 52.44, 67.43","4.6, 4.1, 3.7, 0.45, 0.078"
WALLABY_J103538-484832_BS_53,22.07,19.16,83.38,249.706,5741.13,159.81,-48.84,10.0,True,56.1875,136.9875,"7.49, 22.48, 37.46, 52.44, 67.43","42.15, 110.82, 122.83, 119.72, 188.79","7.49, 22.48, 37.46, 52.44, 67.43","5.7, 4.4, 1.6, 1.2, 0.4"
WALLABY_J103538-484832_BS_54,22.01,19.41,83.21,250.185,5738.15,159.81,-48.84,10.0,True,46.51767441860465,156.76023255813953,"7.49, 22.48, 37.46, 52.44, 67.43","47.69, 117.79, 115.39, 183.81, 124.91","7.49, 22.48, 37.46, 52.44, 67.43","5.1, 6.8, 2.3, 0.15, 0.15"
WALLABY_J103538-484832_BS_55,22.16,19.35,71.78,247.207,5740.7,159.81,-48.84,10.0,True,49.593333333333334,126.02591900311526,"7.49, 22.48, 37.46, 52.44, 67.43","52.44, 116.13, 129.12, 125.3, 154.18","7.49, 22.48, 37.46, 52.44, 67.43","3.8, 5.7, 3.6, 0.39, 0.018"
WALLABY_J103538-484832_BS_56,21.78,19.31,75.06,242.077,5738.5,159.81,-48.84,10.0,True,53.91394296951819,145.75533923303834,"7.49, 22.48, 37.46, 52.44, 67.43","101.84, 127.88, 117.02, 140.54, 193.58","7.49, 22.48, 37.46, 52.44, 67.43","4.6, 3.2, 3.6, 1.1, 0.083"
WALLABY_J103538-484832_BS_57,22.09,19.26,75.89,248.739,5742.44,159.81,-48.84,10.0,True,51.21714285714285,113.22632653061224,"7.49, 22.48, 37.46, 52.44, 67.43","48.17, 111.98, 127.36, 111.97, 130.09","7.49, 22.48, 37.46, 52.44, 67.43","5.6, 3.4, 3.7, 0.76, 0.018"
WALLABY_J103538-484832_BS_58,22.18,19.27,76.7,252.223,5742.0,159.81,-48.84,10.0,True,51.34108108108108,128.9996525096525,"7.49, 22.48, 37.46, 52.44, 67.43","69.4, 109.39, 123.69, 129.42, 153.83","7.49, 22.48, 37.46, 52.44, 67.43","6.2, 3.8, 3.4, 0.81, 0.021"
WALLABY_J103538-484832_BS_59,22.13,19.21,71.36,248.487,5740.76,159.81,-48.84,10.0,True,52.194426229508196,126.19426229508197,"7.49, 22.48, 37.46, 52.44, 67.43","32.87, 115.21, 124.65, 126.22, 160.31","7.49, 22.48, 37.46, 52.44, 67.43","4.9, 3.7, 2.8, 0.97, 0.063"
WALLABY_J103538-484832_BS_60,22.02,19.21,84.04,245.375,5741.13,159.81,-48.84,10.0,True,49.99556485355648,137.07882845188286,"7.49, 22.48, 37.46, 52.44, 67.43","78.55, 111.76, 120.56, 140.3, 186.35","7.49, 22.48, 37.46, 52.44, 67.43","7.4, 4.2, 3.0, 0.61, 0.32"
WALLABY_J103538-484832_BS_61,21.89,19.25,76.47,239.763,5739.17,159.81,-48.84,10.0,True,49.42855670103093,121.06958762886599,"7.49, 22.48, 37.46, 52.44, 67.43","55.9, 116.38, 125.4, 119.98, 186.46","7.49, 22.48, 37.46, 52.44, 67.43","5.2, 3.8, 4.1, 0.22, 0.072"
WALLABY_J103538-484832_BS_62,21.73,19.33,72.21,240.306,5735.86,159.81,-48.84,10.0,True,49.3046511627907,135.28511627906977,"7.49, 22.48, 37.46, 52.44, 67.43","62.7, 114.02, 128.24, 137.15, 145.06","7.49, 22.48, 37.46, 52.44, 67.43","6.0, 5.9, 2.7, 0.55, 0.013"
WALLABY_J103538-484832_BS_63,21.88,19.34,75.87,244.146,5738.05,159.81,-48.84,10.0,True,52.44,128.09,"7.49, 22.48, 37.46, 52.44, 67.43","65.06, 116.8, 122.47, 128.09, 177.67","7.49, 22.48, 37.46, 52.44, 67.43","5.4, 4.4, 2.9, 1.0, 0.017"
WALLABY_J103538-484832_BS_64,22.28,19.44,76.33,249.882,5743.17,159.81,-48.84,10.0,True,52.35723756906077,121.6246408839779,"7.49, 22.48, 37.46, 52.44, 67.43","52.28, 113.47, 127.86, 121.59, 185.05","7.49, 22.48, 37.46, 52.44, 67.43","5.5, 3.7, 2.8, 0.99, 0.091"
WALLABY_J103538-484832_BS_65,22.12,19.34,73.94,246.315,5738.82,159.81,-48.84,10.0,True,48.50780114722753,122.0861048893745,"7.49, 22.48, 37.46, 52.44, 67.43","69.56, 112.99, 126.43, 120.54, 84.81","7.49, 22.48, 37.46, 52.44, 67.43","5.4, 5.0, 3.7, 0.039, 0.13"
WALLABY_J103538-484832_BS_66,21.86,19.39,76.77,243.305,5736.65,159.81,-48.84,10.0,True,52.04726591760299,127.59250936329587,"7.49, 22.48, 37.46, 52.44, 67.43","59.04, 117.29, 126.2, 127.63, 182.36","7.49, 22.48, 37.46, 52.44, 67.43","3.6, 3.8, 3.6, 0.93, 0.049"
WALLABY_J103538-484832_BS_67,21.7,19.44,73.24,245.726,5736.64,159.81,-48.84,10.0,True,49.62473317865429,120.98424593967518,"7.49, 22.48, 37.46, 52.44, 67.43","35.02, 105.11, 128.91, 119.15, 127.72","7.49, 22.48, 37.46, 52.44, 67.43","5.2, 4.1, 4.5, 0.19, 0.027"
WALLABY_J103538-484832_BS_68,22.02,19.49,73.73,247.908,5739.48,159.81,-48.84,10.0,True,59.573943207656924,144.14421447834593,"7.49, 22.48, 37.46, 52.44, 67.43","33.31, 112.91, 131.26, 126.84, 163.2","7.49, 22.48, 37.46, 52.44, 67.43","5.0, 4.6, 2.1, 1.9, 0.0089"
WALLABY_J103538-484832_BS_69,21.95,19.23,76.73,249.686,5740.32,159.81,-48.84,10.0,True,49.8401652892562,135.86338842975206,"7.49, 22.48, 37.46, 52.44, 67.43","59.05, 118.56, 116.07, 140.02, 105.41","7.49, 22.48, 37.46, 52.44, 67.43","5.9, 4.5, 3.0, 0.58, 0.1"
WALLABY_J103538-484832_BS_70,22.19,19.34,77.35,250.248,5742.35,159.81,-48.84,10.0,True,52.44,134.04,"7.49, 22.48, 37.46, 52.44, 67.43","82.91, 112.89, 124.34, 134.04, 208.67","7.49, 22.48, 37.46, 52.44, 67.43","6.1, 4.6, 2.8, 1.0, 0.13"
WALLABY_J103538-484832_BS_71,22.11,19.3,74.31,249.86,5738.14,159.81,-48.84,10.0,True,51.07818181818182,129.76000000000002,"7.49, 22.48, 37.46, 52.44, 67.43","48.15, 117.11, 125.26, 130.21, 111.01","7.49, 22.48, 37.46, 52.44, 67.43","4.2, 4.3, 3.4, 0.76, 0.0064"
WALLABY_J103538-484832_BS_72,21.97,19.39,66.77,247.091,5738.53,159.81,-48.84,10.0,True,48.76281690140845,132.28543259557344,"7.49, 22.48, 37.46, 52.44, 67.43","48.92, 121.8, 131.38, 132.58, 135.85","7.49, 22.48, 37.46, 52.44, 67.43","4.8, 5.8, 4.0, 0.024, 0.11"
WALLABY_J103538-484832_BS_73,21.98,19.32,72.38,249.002,5737.71,159.81,-48.84,10.0,True,51.21213114754098,121.60918032786886,"7.49, 22.48, 37.46, 52.44, 67.43","45.73, 112.07, 132.24, 120.66, 129.85","7.49, 22.48, 37.46, 52.44, 67.43","5.5, 4.1, 3.8, 0.75, 0.038"
WALLABY_J103538-484832_BS_74,21.79,19.35,71.47,250.974,5739.69,159.81,-48.84,10.0,True,57.44200213561132,132.44689268553122,"7.49, 22.48, 37.46, 52.44, 67.43","39.37, 114.98, 130.5, 122.86, 151.59","7.49, 22.48, 37.46, 52.44, 67.43","5.5, 4.8, 1.7, 1.5, 0.0016"
WALLABY_J103538-484832_BS_75,22.13,19.26,85.52,244.047,5741.17,159.81,-48.84,10.0,True,49.157229219143574,107.10851385390428,"7.49, 22.48, 37.46, 52.44, 67.43","39.62, 110.62, 119.04, 103.76, 98.05","7.49, 22.48, 37.46, 52.44, 67.43","4.9, 4.8, 4.1, 0.13, 0.026"
WALLABY_J103538-484832_BS_76,22.37,19.2,72.11,248.177,5744.79,159.81,-48.84,10.0,True,54.980677966101695,136.0084745762712,"7.49, 22.48, 37.46, 52.44, 67.43","45.13, 107.27, 128.58, 124.5, 192.4","7.49, 22.48, 37.46, 52.44, 67.43","3.5, 2.2, 4.1, 1.1, 0.51"
WALLABY_J103538-484832_BS_77,21.91,19.18,67.13,250.622,5739.85,159.81,-48.84,10.0,True,47.56796221322537,121.09924426450742,"7.49, 22.48, 37.46, 52.44, 67.43","31.99, 118.01, 128.94, 117.32, 128.06","7.49, 22.48, 37.46, 52.44, 67.43","4.2, 5.5, 3.0, 0.036, 0.021"
WALLABY_J103538-484832_BS_78,22.05,19.13,74.2,247.569,5742.71,159.81,-48.84,10.0,True,49.64253012048193,132.20114457831326,"7.49, 22.48, 37.46, 52.44, 67.43","41.84, 116.87, 123.54, 134.19, 120.21","7.49, 22.48, 37.46, 52.44, 67.43","4.7, 4.8, 3.7, 0.38, 0.16"
WALLABY_J103538-484832_BS_79,22.01,19.44,73.86,249.459,5737.7,159.81,-48.84,10.0,True,52.44,111.5,"7.49, 22.48, 37.46, 52.44, 67.43","47.68, 113.85, 128.32, 111.5, 131.56","7.49, 22.48, 37.46, 52.44, 67.43","4.7, 3.7, 3.8, 1.0, 0.017"
WALLABY_J103538-484832_BS_80,21.88,19.28,70.81,244.987,5739.22,159.81,-48.84,10.0,True,56.25101694915254,132.55677966101695,"7.49, 22.48, 37.46, 52.44, 67.43","43.33, 120.13, 130.01, 119.1, 172.03","7.49, 22.48, 37.46, 52.44, 67.43","4.8, 4.1, 2.7, 1.3, 0.12"
WALLABY_J103538-484832_BS_81,21.98,19.11,78.23,241.798,5740.96,159.81,-48.84,10.0,True,50.02711409395973,133.9089932885906,"7.49, 22.48, 37.46, 52.44, 67.43","45.74, 117.39, 117.81, 137.0, 137.92","7.49, 22.48, 37.46, 52.44, 67.43","5.0, 4.0, 3.5, 0.52, 0.092"
