name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_10,22.027231216430664,19.446340560913086,73.803955078125,245.1776123046875,5741.041015625,158.90882928052346,-48.80913175037941,10.0,True,48.95960214021282,138.70659196152147,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","43.89756774902344, 115.62069702148438, 126.3831787109375, 142.4407958984375, 147.72019958496094","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.7283970759219263, 5.2706909920625815, 4.180005727662697, 0.036404146627899085, 0.07011913903320838"
WALLABY_J103538-484832_BS_11,22.092172622680664,19.301536560058594,69.135498046875,251.25640869140625,5741.20849609375,158.90865231544086,-48.8093692147868,10.0,True,51.41247957782087,137.2098218494945,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","41.49311065673828, 121.69438171386719, 123.08392333984375, 138.2543182373047, 144.242431640625","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.469793528534781, 4.509493171396418, 3.4013818077754716, 0.8224371623326474, 0.029669341112640257"
WALLABY_J103538-484832_BS_12,22.057313919067383,19.200397491455078,73.91241455078125,252.26153564453125,5741.7880859375,158.90873169474858,-48.80953968299013,10.0,True,51.22577718373646,119.76681493735894,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","40.211021423339844, 115.28404235839844, 127.12332153320312, 119.11570739746094, 107.28173065185547","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.50359976602328, 4.600749314596495, 3.090330610850451, 0.8149896280425792, 0.001149813131641294"
WALLABY_J103538-484832_BS_13,22.056087493896484,19.268558502197266,76.59913635253906,248.1517333984375,5740.8642578125,158.90874074696677,-48.80942621933359,10.0,True,53.7442209297977,138.95529003042066,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","55.376976013183594, 109.5009994506836, 121.12295532226562, 132.42013549804688, 207.74118041992188","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.866003586326951, 3.0963111796363902, 3.3870332880269682, 1.0814180292840916, 0.14303302082277375"
WALLABY_J103538-484832_BS_14,22.3050537109375,19.56780433654785,72.757080078125,253.62429809570312,5741.5888671875,158.9081368858163,-48.80891346349178,10.0,True,51.83729451774164,130.4772136111906,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","31.637420654296875, 111.85828399658203, 123.97039794921875, 130.75186157226562, 111.81092071533203","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.0657832385773585, 3.7907607861135193, 2.8289046258364094, 0.9228032646717925, 0.0897479330750115"
WALLABY_J103538-484832_BS_15,22.094589233398438,19.371761322021484,77.59894561767578,248.32083129882812,5741.27490234375,158.90865232960584,-48.80925210422921,10.0,True,52.172569380193565,124.38160317561486,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","77.39435577392578, 113.64134216308594, 127.81275939941406, 124.31826782226562, 203.62091064453125","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.4300528056356905, 5.601647047135265, 2.5912468658256747, 0.9706273407739731, 0.1496332957987117"
WALLABY_J103538-484832_BS_16,22.039859771728516,19.24652099609375,75.47822570800781,244.09771728515625,5740.8173828125,158.90877988627852,-48.809463859250364,10.0,True,49.675344922007824,125.58632413528815,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","50.200584411621094, 113.78717041015625, 124.4466552734375, 125.84465026855469, 144.8814697265625","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.873428596537062, 5.020112770271999, 3.0686377177392674, 0.5311066217206827, 0.10601077269383899"
WALLABY_J103538-484832_BS_17,22.081298828125,19.249570846557617,87.44527435302734,245.96136474609375,5740.7998046875,158.9086752949791,-48.8094563977297,10.0,True,51.95676996772235,129.20393774304515,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","74.5667724609375, 117.41456604003906, 115.25321960449219, 129.67295837402344, 110.1572036743164","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.046108242252309, 5.710321126215629, 2.495071388140541, 0.9497359692268856, 0.059799631187203696"
WALLABY_J103538-484832_BS_18,22.09746551513672,19.20090675354004,68.73412322998047,244.69070434570312,5741.130859375,158.90863013935046,-48.80953652721368,10.0,True,49.018065723381035,130.193633232366,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","75.88948059082031, 116.91780090332031, 129.6495819091797, 130.3549041748047, 131.9604034423828","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.381524114724432, 4.485676229682029, 4.165140284109571, 0.06177021392132396, 0.11785698161926801"
WALLABY_J103538-484832_BS_19,21.85722541809082,19.347829818725586,71.12097930908203,249.98904418945312,5737.89990234375,158.90925086490358,-48.80930560624066,10.0,True,52.196151638792045,119.8641860486309,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","45.69163513183594, 116.56124877929688, 133.43222045898438, 119.63584899902344, 206.5603790283203","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.9799541653788735, 4.098848690336846, 3.154597696110723, 0.9637401803281425, 0.03693236908865689"
